pitch,funding_amount,industry,city
e-learning,200000000.0,E-Tech,Bengaluru
app based shuttle service,8048394.0,Transportation,Gurgaon
retailer of baby and toddler products,18358860.0,E-commerce,Bengaluru
online investment,3000000.0,FinTech,New Delhi
embroiled clothes for women,1800000.0,Fashion and Apparel,Mumbai
"open-market, freight management platform",9000000.0,Logistics,Chennai
online food delivery platform,150000000.0,Hospitality,Gurgaon
agritech,6000000.0,Technology,Pune
automobile,70000000.0,E-Commerce,Gurgaon
satellite communication,50000000.0,Aerospace,Bengaluru
logistics services and solutions,20000000.0,Technology,Gurgaon
food solutions for corporate,12000000.0,B2B-focused foodtech startup,Bengaluru
online meat and seafood ordering startup,30000000.0,E-Commerce,Bengaluru
non-banking financial company,5900000.0,Finance,Mumbai
experience discovery platform,2000000.0,Video,Bengaluru
real money based gaming startup,50000000.0,Gaming,Noida
online eyewear shopping portal,231000000.0,E-Commerce,Faridabad
business and customer engagement tools,150000000.0,Software,San Francisco
men's health and wellness brand,486000.0,Health and wellness,Gurgaon
elearning,1500000.0,Education,Gurgaon
healthcare services,12000000.0,Health and Wellness,Gurgaon
agritech,26000000.0,B2B Marketing,Bengaluru
financial services to msmes,17411265.0,FinTech,Gurgaon
social gaming platform,1300000.0,Video Games,Pune
recovery software,135000000.0,SaaS,"San Jose,"
electric bike rental,300000.0,Last Mile Transportation,Amritsar
virtual e-commerce platform,220000000.0,E-Commerce,Delhi
b2b platform for medical supplies,15800000.0,Healthcare,Mumbai
scooter sharing app,283000000.0,Last Mile Transportation,Kormangala
music education,200000000.0,Education,Tulangan
delivery service,45000000.0,Customer Service,Bengaluru
financial services,4500000.0,FinTech,Pune
invoice discounting platform and sme lending marketplace,3300000.0,FinTech,Mumbai
digital marketing firm,6000000.0,"Advertising, Marketing",Mumbai
education technology,5000000.0,SaaS,Hyderabad
building automation system,18000000.0,IoT,Burnsville
deep-technology,1000000.0,Information Technology,Bengaluru
"consumer electronics, home appliances",10000000.0,Consumer Technology,Mumbai
wearable fitness bands,450000000.0,Health and Wellness,Menlo Park
mobile-based accounting software,5000000.0,Accounting,Bengaluru
automotive,20000000.0,E-Commerce,Gurgaon
supply chain management,5000000.0,Finance,New Delhi
fuel delivery,1600000.0,Retail,Bengaluru
vc funds,140000000.0,Finance,Mumbai
last-mile retail transaction technology,38080000.0,Information Technology,Noida
social commerce,125000000.0,E-Commerce,Bengaluru
car retail,11000000.0,E-Commerce,Gurugram
conversational ai,51000000.0,Customer Service Platform,Palo Alto
road safety analytics,37000000.0,Automotive,San Francisco
low carb food for diabetics,500000.0,Consumer Goods,Bengaluru
digital lending platform,110000000.0,FinTech,Santa Monica
wealth management,15000000.0,FinTech,Gurgaon
b2b foodtech,6590000.0,Food and Beverage,Bengaluru
university admissions,1000000.0,EdTech,Noida
grocery delivery,70000000.0,E-Commerce,Gurgaon
auto insurance,19000000.0,Finance,Gurgaon
big data,2500000.0,Information Technology,Singapore
consulting,145000.0,Compliance,New Delhi
cabs,1000000.0,Transport,Kormangala
speech recognition,38080000.0,Artificial Intelligence,Taramani
digital vending machine,500000.0,Food and Beverage,New Delhi
education,150000000.0,EdTech,Bengaluru
industrial tools and equipments,60000000.0,E-Commerce,Singapore
logistics,16000000.0,Tech,Singapore
smartphone operating system,5750000.0,Tech,Andheri
primary care medical network,2500000.0,Health Care,Mumbai
clothes and apparel,1000000.0,Luxury Label,Mumbai
full-stack career platform,319605.0,EdTech,Chembur
real estate,51000000.0,E-Commerce,Bengaluru
brewery,10000000.0,Food and Beverage,New Delhi
hospitality,4889975.54,E-Commerce,Gurgaon
fintech,9000000.0,Finance,Bengaluru
fintech,75000000.0,Finance,New Delhi
optimization,26000000.0,Waste Management Service,Hyderabad
artificial intelligence,2500000.0,Deep-Tech,Bengaluru
hybrid reactor biodigestor,2739034.68,Agriculture,Nairobi
renewable energy,26000000.0,Energy,New Delhi
e-books,15109500.0,Digital Media,Bengaluru
video platform,430200.0,Digital Media,Bengaluru
financial services,15500000.0,FinTech,Haryana
online lending platform,52000000.0,FinTech,New York
dockless scooter rental company,3584000.0,Transportation,Karnataka
digital documentation,3400000.0,Services,Mumbai/Bengaluru
optimization,868600.0,Waste Management Service,Bengaluru
logistics,150000000.0,Transport,Bengaluru
beauty and wellness industry,50000000.0,Saas,Hyderabad
electric vehicle,51000000.0,Automobile,Bengaluru
fresh agriculture produces,140000000.0,Agtech,Mumbai
retail,11500000.0,E-commerce,Bengaluru
brewery,5600000.0,Food and Beverage,New Delhi
wealth management,45000000.0,Finance,Bengaluru
online medicine,17000000.0,E-commerce,Bengaluru
waste management,430665.0,E-commerce,Bhopal
travel,3591375.0,Social Media,New Delhi
organic wellness,200000.0,Health and Wellness,Gurugram
banking,3500000.0,Fintech,Bengaluru
e-learning,6320820.0,Edtech,Mumbai
fashion and apparel,2443495.0,E-commerce,Mumbai
e-learning,307000.0,Edtech,Bengaluru
mobile analytics and marketing,26000000.0,SaaS,Mumbai
software solutions,3000000.0,E-commerce,Bengaluru and Gurugram
lending platform,14342000.0,E-commerce,Bengaluru
bus aggregation,5000000.0,Transportation,Gurugram
supply-chain technology solutions,3000000.0,Technology,Bengaluru
fashion & apparel,226000000.0,Ecommerce,India/Singapore
anti-pollution,600000.0,Nanotechnology,New Delhi
budget rooms,100000000.0,Hospitality,Gurgaon
online marketplace,110000000.0,Automobile,Jaipur
specialty pharmaceutical,22000000.0,Health and Wellness,India/US
non-banking financial company,5000000.0,Finance,Chennai
hyperlocal content,700000.0,Social Media,Delhi
home services marketplace,50000000.0,Services Platform,New Delhi
platform for travel agents,800000.0,Travel Tech,Mumbai
"video-based certification, trainings",572000.0,Online Education,Gurugram
ecommerce,143000.0,Online Marketplace,Nagpur
ecommerce,2000000.0,B2B,Indore
"real estate, erp",3500000.0,"SaaS, Ecommerce",Gurugram
regional flavours,138995.0,Food and Beverage,Bengaluru
msme finance,27799000.0,NBFC,Chennai
social commerce,50000000.0,Ecommerce,Bengaluru
mobile e-sports,500000.0,Gaming,Bengaluru
meat retail chain,1000000.0,Food,Jaipur
pos for online ordering,1000000.0,Food Tech,"New York, Bengaluru"
micro-delivery grocery service,1300000.0,Food,New Delhi
on-demand drivers,1000000.0,Transport,Bengaluru
car wash,500000.0,Services,Bengaluru
robotics,300000000.0,Automation,California
wellness coach,6000000.0,Health and Wellness,Bengaluru
personalized learning,278000.0,Education,Noida
sme funding,31000000.0,Investment,Mumbai
digital onboarding solution,3400000.0,Financial Tech,Mumbai/Bengaluru
ai platform,29500000.0,Software,India/US
sme lending,42000000.0,Finance,India
video sharing,1700000.0,Social Media,Delhi
supply chain,11000000.0,Logistics,Hyderabad
wine,8200000.0,Food,Mumbai
new and used cars platform,3000000.0,Automobile,Gurgaon
co-working,4000000.0,Real Estate,New Delhi
